Name,Link,Iframe,Folder
Rap '21 .1a,https://open.spotify.com/playlist/6LM0TKput11yxxmsKUL1qW?si=e4b04946a07b4cad,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/6LM0TKput11yxxmsKUL1qW?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",extra
2017 Wrapped,https://open.spotify.com/playlist/0ucQtVg6S51B6EOr2DMyFS?si=9b24459261fa4d30,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/0ucQtVg6S51B6EOr2DMyFS?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",extra
2020 Wrapped,https://open.spotify.com/playlist/5bNIUOFubVFcHIT9ws6mah?si=c5a59b1c84884d69,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/5bNIUOFubVFcHIT9ws6mah?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",extra
2021 Wrapped,https://open.spotify.com/playlist/6UvcIuTCQZBqq6XCAUJuNG?si=88b905c0e3a14434,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/6UvcIuTCQZBqq6XCAUJuNG?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",extra
2022 Wrapped,https://open.spotify.com/playlist/2TPuIzhoY9vJMaNjufLEuT?si=014725655cf44efb,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/2TPuIzhoY9vJMaNjufLEuT?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",extra
Enero 2021,https://open.spotify.com/playlist/621KqCNpLJQOGBr3vHNILZ?si=e12748a493a84905,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/621KqCNpLJQOGBr3vHNILZ?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",2021
Febrero 2021,https://open.spotify.com/playlist/16fZzCue4iSZk9LnzqLkAo?si=71b8eace0109466e,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/16fZzCue4iSZk9LnzqLkAo?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",2021
Marzo 2021,https://open.spotify.com/playlist/1SJxuRriERzonPjEHY0J9s?si=cf24e69256ff4aa5,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/1SJxuRriERzonPjEHY0J9s?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",2021
Abril 2021,https://open.spotify.com/playlist/5spOFGxtWGIvwLNRvXiNHi?si=1a42225db3f94ba0,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/5spOFGxtWGIvwLNRvXiNHi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",2021
Mayo 2021,https://open.spotify.com/playlist/38QaWWLIHuLNGQPbuZkNQp?si=3e132ffe028d4320,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/38QaWWLIHuLNGQPbuZkNQp?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",2021
Junio 2021,https://open.spotify.com/playlist/2LpXxnIkDMp4bcJZFWKS6M?si=74ec8f078aba4bcf,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/2LpXxnIkDMp4bcJZFWKS6M?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",2021
Julio 2021,https://open.spotify.com/playlist/2wnwvzfmq5Wewvuqslyb1g?si=30bdfaf99e0d4756,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/2wnwvzfmq5Wewvuqslyb1g?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",2021
Agosto 2021,https://open.spotify.com/playlist/6itYvf4eEWn1IHg692Tari?si=eabc95d4b8fe49f5,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/6itYvf4eEWn1IHg692Tari?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",2021
Septiembre 2021,https://open.spotify.com/playlist/5D6TMmyJnClPDbDTTm97DD?si=de0c1629957d4eaa,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/5D6TMmyJnClPDbDTTm97DD?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",2021
Octubre 2021,https://open.spotify.com/playlist/3KWoLWwruIROIKc1dy98Xz?si=b2e3ca52720c46d5,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/3KWoLWwruIROIKc1dy98Xz?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",2021
Noviembre 2021,https://open.spotify.com/playlist/3bK3NvuMkrHZUhut7DHKtW?si=9841a9e26f464dbf,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/3bK3NvuMkrHZUhut7DHKtW?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",2021
Diciembre 2021,https://open.spotify.com/playlist/36e77P7xmgEiCpQtUS4j34?si=27027b8d0f3a4fcb,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/36e77P7xmgEiCpQtUS4j34?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",2021
